Gemstone,Image,Alternate Name,Chakra,Physical Attributes,Emotional Attributes,Metaphysical Attributes,Origin,Physical Description,Birth Month,Zodiac Sign,Mohs Hardness
Achroite,achroite_tourmaline_aaron.jpeg,-,"Heart, Crown","Heart, nervous system","Helps release emotional blockages, promotes love and compassion","Enhances spirituality, aids in meditation","Brazil, Madagascar, Namibia, USA","Transparent to translucent tourmaline, colorless to various hues",October,Libra,7-7.5
Actinolite,actinolite_aaron.jpeg,-,Heart,"Immune system, lungs","Provides emotional strength, aids in overcoming challenges","Promotes grounding and balance, clears energy blockages","Brazil, Canada, Switzerland, USA","Green to black fibrous mineral, part of the amphibole group",March,Pisces,5.5-6
Adamite,adamite_aaron.jpeg,Zincian Adamite,"Heart, Solar Plexus","Eyes, respiratory system","Stimulates joy and creativity, helps in emotional healing","Enhances inner strength, spiritual connection","Mexico, Greece, Namibia, Chile",Transparent to translucent yellow-green mineral,December,Capricorn,3.5-4.5
Aegirine,aegirine_aaron.jpeg,Acmite,"Solar Plexus, Root","Muscles, immune system","Aids in releasing negativity, promotes courage","Enhances protection, shields from negative energies","Greenland, Russia, Canada, Malawi",Dark green to black monoclinic pyroxene mineral,November,Scorpio,5.5-6
Agate,agate.png,-,"Root, Sacral","Digestive system, skin","Balances emotions, fosters strength and courage","Grounding, harmonizing, enhances concentration","Brazil, India, Morocco, USA","Banded form of chalcedony, various colors",May,Gemini,6.5-7
Agate Druzy,agate_druzy.png,Druzy Quartz,Crown,"Immune system, brain","Instills positivity, amplifies body's natural healing","Aids in meditation, enhances spiritual growth","Brazil, Uruguay, Mexico","Fine crystalline coating on agate, sparkly appearance",July,Cancer,6.5-7
Agatised Coral,agatised_coral_aaron.jpg,-,"Root, Sacral","Skeleton, blood","Brings emotional peace, promotes adaptability","Enhances intuition, connection to nature","Indonesia, USA, Australia",Fossilized coral replaced by agate/chalcedony,November,Scorpio,6-7
Ajoite Quartz,ajoite_quartz_aaron.jpeg,-,"Heart, Throat","Lungs, heart","Eases stress, promotes emotional healing","Enhances empathy, aids in communication",South Africa,Light blue-green mineral in quartz matrix,September,Virgo,7
Alabaster,alabaster_aaron.jpeg,-,Crown,"Skin, joints","Encourages patience and tolerance, soothes emotions","Aids in spiritual transformation, enhances clarity","Egypt, Italy, Spain, USA","Fine-grained gypsum, often used in carvings",January,Capricorn,1-2
Albite,albite_aaron.jpeg,-,Crown,"Eyes, brain","Balances emotions, aids in mental clarity","Promotes harmony, facilitates communication","Brazil, Russia, USA",White to transparent plagioclase feldspar,March,Pisces,6-6.5
